index,class,xaiprob_initial,len_xai_initial,xaiprob_final,len_xai_final
1611,1,0.09,3,0.43,3
5298,1,0.09,3,0.43,3
5551,1,1.04,3,2.06,3
4273,1,1.04,3,2.06,3
1423,1,0.09,3,0.43,3
4822,1,1.04,3,2.06,3
4046,1,0.09,3,0.43,3
3328,1,1.04,3,2.06,3
6912,1,1.04,3,2.06,3
1715,1,0.09,3,0.43,3
7354,1,0.23,7,0.27,8
6930,1,1.04,3,2.06,3
6306,1,1.04,3,2.06,3
2029,1,1.04,3,2.06,3
2425,1,0.09,3,0.43,3
3657,1,1.04,3,2.06,3
821,1,0.09,3,0.43,3
7570,1,1.04,3,2.06,3
2650,1,0.09,3,0.43,3
4129,1,1.04,3,2.06,3
3762,1,0.09,4,0.72,5
7898,1,0.09,3,0.43,3
964,1,0.09,3,0.43,3
2677,1,1.29,3,1.71,4
4978,1,1.04,3,2.06,3
4364,1,1.04,3,2.06,3
7744,1,0.09,3,0.43,3
3266,1,0.09,3,0.43,3
3996,1,1.04,3,2.06,3
6691,1,1.04,3,2.06,3
7930,1,1.04,3,2.06,3
6000,1,1.04,3,2.06,3
5686,1,0.23,7,0.27,8
5244,1,0.11,8,0.41,9
5932,1,0.09,3,0.43,3
7610,1,0.09,3,0.43,3
7996,1,0.09,3,0.43,3
6695,1,1.04,3,2.06,3
3225,1,0.09,3,0.43,3
5781,1,1.04,3,2.06,3
5195,1,1.29,3,1.71,4
6153,1,0.09,3,0.43,3
2808,1,0.09,3,0.43,3
814,1,1.04,3,2.06,3
4945,1,1.29,3,1.71,4
1557,1,0.05,2,1.41,3
3593,1,1.04,3,2.06,3
5343,1,0.09,4,0.72,5
1476,1,1.04,3,2.06,3
5886,1,1.04,3,2.06,3
2558,1,0.09,3,0.43,3
1421,1,1.04,3,2.06,3
7486,1,1.04,3,2.06,3
2267,1,1.04,3,2.06,3
3823,1,1.04,3,2.06,3
7881,1,1.04,3,2.06,3
1669,1,0.09,3,0.43,3
3165,1,1.04,3,2.06,3
798,1,1.04,3,2.06,3
5692,1,0.23,7,0.27,8
7025,1,0.05,2,1.41,3
2263,1,0.09,3,0.43,3
4427,1,1.04,3,2.06,3
3128,1,1.04,3,2.06,3
1233,1,1.04,3,2.06,3
5976,1,0.09,3,0.43,3
288,1,1.04,3,2.06,3
1962,1,0.09,3,0.43,3
3862,1,1.04,3,2.06,3
6868,1,1.04,3,2.06,3
7219,1,1.04,3,2.06,3
6316,1,0.35,9,0.45,10
6976,1,0.09,3,0.43,3
3773,1,0.09,4,0.72,5
379,1,0.09,3,0.43,3
7467,1,1.29,3,1.71,4
803,1,0.09,3,0.43,3
7131,1,0.09,3,0.43,3
372,1,0.09,4,0.72,5
4437,1,1.04,3,2.06,3
7116,1,1.04,3,2.06,3
1790,1,1.04,3,2.06,3
6084,1,0.09,3,0.43,3
1851,1,0.09,3,0.43,3
6518,1,0.09,4,0.72,5
1602,1,0.09,3,0.43,3
171,1,0.09,4,0.72,5
538,1,0.09,4,0.72,5
4971,1,0.09,4,0.72,5
6239,1,0.09,4,0.72,5
7601,1,0.09,4,0.72,5
889,1,1.04,3,2.06,3
1199,1,1.04,3,2.06,3
2153,1,0.09,4,0.72,5
980,1,1.29,3,1.71,4
6621,1,1.04,3,2.06,3
326,1,0.09,3,0.43,3
4593,1,1.04,3,2.06,3
5834,1,0.09,4,0.72,5
4494,1,0.05,2,1.41,3
